Feature,<Expense Tracking>,,,,,,,,,,,,
Test requirement,<Testing recording categorizing and validating building expenses>,,,,,,,,,,,,
Number of TCs,10,,,,,,,,,,,,
Testing Round,Passed,Failed,Pending,N/A,,,,,,,,
Round 1,10,0,0,0,,,,,,,,
,,,,,,,,,,,,,
Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Test date,Tester,Round 2 Status,Test date,Tester,Round 3 Status,Test date,Tester,Note
[Module Exp - 1],Record new expense,Admin records operational expense for building,Expense saved and linked to building.,Admin role Building exists,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 2],Upload expense receipt,Admin uploads receipt for expense,Receipt image saved and linked to expense.,Expense exists,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 3],Calculate total expenses,Generate summary of expenses for month,Total sum is accurate based on records.,Multiple expenses in month,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 4],Delete expense,Admin deletes erroneous expense record,Record removed totals updated.,Expense exists,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 5],Update expense amount,Admin modifies cost of existing expense,Amount updated without duplicating record.,Expense exists,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 6],Filter expenses by category,Admin filters view by 'Cleaning' category,Only cleaning expenses shown.,Mixed categories exist,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 7],Export expense list,Admin exports expenses to CSV,Valid CSV generated with all fields.,Expenses exist,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 8],Prevent negative expense amount,Admin tries saving expense with negative cost,Validation error thrown.,Admin role,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 9],Associate expense with specific room,Admin records repair expense for Room 101,Expense linked to both Room and Building.,Room exists,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
[Module Exp - 10],Verify expense pagination,Admin requests page 2 of expenses list,Correct next set of records returned.,> 20 expenses exist,"Passed","28/03/2026","Tu Thi Hong Phuc","Passed","30/03/2026","Vo Trung Tin","Passed","02/04/2026","Phan Phu Tho",
