Feature,<Service Management>,,,,,,,,,,,,
Test requirement,<Testing creation and assignment of building and room services>,,,,,,,,,,,,
Number of TCs,12,,,,,,,,,,,,
Testing Round,Passed,Failed,Pending,N/A,,,,,,,,
Round 1,12,0,0,0,,,,,,,,
,,,,,,,,,,,,,
Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Test date,Tester,Round 2 Status,Test date,Tester,Round 3 Status,Test date,Tester,Note
[Module Srv - 1],Create new global service,Admin creates 'Internet' service with cost,Service saved and available for assignment.,Admin role,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 2],Update service cost,Admin updates 'Internet' cost,New cost saved existing assignments unaffected until next cycle.,Service exists,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 3],Deactivate service,Admin deactivates a service,Service hidden from new assignment lists.,Service is active,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 4],Assign service to Room,Admin links 'Internet' service to Room 101,RoomServices record created.,Room and Service exist,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 5],Override service usage cost for room,Admin sets custom cost for 'Internet' in Room 101,Override cost saved and prioritized over base cost.,Room has Service assigned,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 6],Remove service from room,Admin unassigns service from room,RoomService record deleted.,Service assigned to room,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 7],Service auto-added to Invoice,Generate invoice for room with 2 active services,Invoice includes line items for both services.,Room has active services,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 8],Prevent duplicate room service assignment,Admin assigns overlapping service to room,Throws DuplicateServiceAssignmentException.,Service already assigned,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 9],List building active services,Fetch services for building dashboard,Returns only Active services.,Services exist,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 10],Create metered service,Admin creates 'Water' service with Unit Pricing,Metered flag set properly.,Admin role,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 11],Create fixed service,Admin creates 'Trash' service with flat fee,Metered flag set to false.,Admin role,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
[Module Srv - 12],Validate price formatting,Create service with 4 decimal places,Value rounded/validated to 2 decimal places.,Admin role,"Passed","28/03/2026","Phan Phu Tho","Passed","30/03/2026","Tu Thi Hong Phuc","Passed","02/04/2026","Vo Trung Tin",
